facility_id	prefecture	facility	core_source	status	product	manufacturer	evidence_type	evidence_url	note
B17-11	神奈川県	医療法人社団梅沢医院 梅沢整形外科	v40:F0355	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex. Processing-only PRP-FD/Waqoo rows remain excluded.
B17-12	神奈川県	医療法人 よこはまTSC 横浜たまプラーザ運動器スポーツクリニック	v41:V41F685148C501	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex and Zimmer Biomet.
B17-13	神奈川県	第一整形外科	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	ACP	Arthrex	MANUFACTURER_LOCATOR_ONLY	https://seikei-saisei.jp/institution.html	Manufacturer locator lead only; absent from locked v40/v41 core inputs.
B17-14	神奈川県	医療法人社団三成会 新百合ヶ丘総合病院	v41:V41F28D3D942DE	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex.
B17-15	神奈川県	医療法人社団耀風会 仲野整形外科スポーツ・ウェルネスクリニック	v41:V41F6F8D305986	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex and Kyocera. PFC-FD/PDF-FD processing services remain in outsourcing watchlist only.
B17-16	神奈川県	小田原市立病院	v41:V41F7AAE4023FC	CONFIRMED_NEW	ACP	Arthrex	MHLW_EXPLICIT_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current v41 plan explicitly states PRP treatment is Arthrex-made; Arthrex locator independently lists the hospital.
B17-17	神奈川県	医療法人颯成会 さいとう整形クリニック	v41:V41F62C99AB377	CONFIRMED_NEW	ACP	Arthrex	V41_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current v41 core facility and Arthrex ACP-PRP locator match.
B17-18	東京都	日本大学病院	v41:V41F1EBA2986A8	CONFIRMED_NEW	ACP	Arthrex	FACILITY_OFFICIAL_EXPLICIT_PLUS_MANUFACTURER_LOCATOR	https://www.nihon-u.ac.jp/hospital/division/orthopedics	Current hospital official page explicitly states use of Arthrex ACP Double Syringe System; manufacturer locator also matches.
B17-19	東京都	医療法人社団TSOC 東京スポーツ＆整形外科クリニック	v40:F0219 / v40:F0220	HOLD_GROUP_BRANCH_AMBIGUOUS	ACP	Arthrex	MANUFACTURER_LOCATOR_GROUP_LEVEL	https://seikei-saisei.jp/institution.html	Arthrex locator uses group/generic clinic name, while current TSOC operates North Ikebukuro and Kitasando sites and PRP is advertised group-wide; insufficient manufacturer evidence to allocate Arthrex to one or both core facility IDs.
B17-20	東京都	医療法人社団 苑田会 苑田会人工関節センター病院	v41:V41F78006E7C02	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex.
B17-21	岐阜県	医療法人ごとう整形外科	v40:F0470	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core; current Arthrex ACP-PRP locator exact facility match.
B17-22	福岡県	医療法人同信会 福岡整形外科病院	v40:F0597	CONFIRMED_NEW	HD-PRP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_PLUS_FACILITY_OFFICIAL	https://www.fukuokaseikei.com/hospital/advanced/hd-prp/	Current hospital official page explicitly states Arthrex Japan Angel cPRP kit for HD-PRP; current Arthrex locator also lists HD-PRP.
