plan_id,facility,prefecture,treatment_class,document_index,source_url,amount,tax,score,page,line,excerpt
V41_01E2111002,医療法人神明会　印どうメディカルクリニック,大阪府,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2111002/5/2,33000,税込,8,4,"キット × 33,000 円(税込) = 円(税込)","他の治療よりも高額になることがあります。Condensia による施術料は1 キットにつ き、33,000 円(税込)となります。 今回の療法での具体的な費用は、 キット × 33,000 円(税込) = 円(税込) ご負担いただきます。ご不明な点は医師・スタッフにお尋ねください。 9.健康被害が発生した際の処置と補償等について この治療が原因である健康被害が発生した場合には協議に応じ、必要な処置をおこな"
V41_01E2302002,医療法人恒晴会　心斎橋ペインクリニック,大阪府,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2302002/5/2,55000,税込,12,4,"き、55,000 円(税込)となります。また、同意を撤回された場合でも、PRP の製造","8. 治療にかかる費用について この治療は、健康保険が適用されない自由診療です。そのため、患者様の費用負担が 他の治療よりも高額になることがあります。Condensia による施術料は1 キットにつ き、55,000 円(税込)となります。また、同意を撤回された場合でも、PRP の製造 に使用する機器の費用(使い回しができません)等として、治療にかかる費用の50% をご負担いただきます。 今回の療法での具体的な費用は、"
V41_01E2302002,医療法人恒晴会　心斎橋ペインクリニック,大阪府,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2302002/5/2,55000,税込,5,4,"キット × 55,000 円(税込) = 円(税込)","に使用する機器の費用(使い回しができません)等として、治療にかかる費用の50% をご負担いただきます。 今回の療法での具体的な費用は、 キット × 55,000 円(税込) = 円(税込) ご負担いただきます。ご不明な点は医師・スタッフにお尋ねください。 9.健康被害が発生した際の処置と補償等について 健康被害が発生した場合、当クリニックにて速やかに追加治療を行います。万が一に"
V41_01E2303002,医療法人ポイントワン　ならやまと整形外科スポーツクリニック,奈良県,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2303002/5/1,110000,税込,9,5,"血液分離専用容器キットによる施術料1 回 110,000 円(税込)","この治療は、健康保険が適用されない自由診療です。そのため、患者様の費用負担が 他の治療よりも高額になることがあります。当院において実施される本治療および本治 療に必要な検査などの費用は全額自己負担となります。 血液分離専用容器キットによる施術料1 回 110,000 円(税込) ※患者様の症状によっては、治療を数回行うことがあります。治療前、または治 療後の状態から担当医師が判断し、患者様にお伝えしご相談させて頂きます。 ※治療内容・回数により1回あたりの費用が減額される場合がございます。施術する"
V41_01E2303002,医療法人ポイントワン　ならやまと整形外科スポーツクリニック,奈良県,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2303002/5/1,110000,税込,-8,6,"は加工後のキャンセル料 110,000 円 (税込))","明を受けた後に同意されない場合でも、一切不利益を受けることはありません。 また同様に、治療を受けることに同意した場合であっても、投与までの間でしたらい つでも取りやめることができます。(キャンセル料はご負担いただきます。:採血後また は加工後のキャンセル料 110,000 円 (税込)) もしこの治療を受けることに同意しない場合も、最適と考えられる治療を実施できる ように患者様の治療に最善を尽くします。 ただし、治療を行った後は、健康管理のために必要に応じて適切な検査を受けていた"
V41_01E2307007,医療法人光明会　もりあきクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307007/5/1,40800,税込,12,1,"PRP 1ml/採血量 約10ml =40,800円(消費税込)","□ 血小板活性を促すためにアドレナリン含有リドカインを少量加え る場合があります。 □ 本治療にかかる費用は以下の通りです。 PRP 1ml/採血量 約10ml =40,800円(消費税込) PRP 2ml/採血量 約20ml =62,800円(消費税込) □ 細胞提供者と受領者(施術対象者)は同一人のため、細胞提供者 の選択は行いません。"
V41_01E2307007,医療法人光明会　もりあきクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307007/5/1,62800,税込,12,1,"PRP 2ml/採血量 約20ml =62,800円(消費税込)","る場合があります。 □ 本治療にかかる費用は以下の通りです。 PRP 1ml/採血量 約10ml =40,800円(消費税込) PRP 2ml/採血量 約20ml =62,800円(消費税込) □ 細胞提供者と受領者(施術対象者)は同一人のため、細胞提供者 の選択は行いません。 ただし、 既往症や診察結果で PRP 療法を施行しない場合がありま"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,55000,不明,6,1,"165,000 円(1 回あたり55,000 円)","50,000 円 1 回(2 回目以降) 60,000 円 3 回セット 165,000 円(1 回あたり55,000 円) 【料金に含まれる内容】 • PRP 採血および調製(京セラダブルスピン法)"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,165000,不明,6,1,"165,000 円(1 回あたり55,000 円)","50,000 円 1 回(2 回目以降) 60,000 円 3 回セット 165,000 円(1 回あたり55,000 円) 【料金に含まれる内容】 • PRP 採血および調製(京セラダブルスピン法)"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,15000,不明,3,1,"+15,000 円","項目 料金 部位追加(1 箇所) +15,000 円 術後フォローカウンセリング(15 分) +3,000 円 疼痛コントロールキット"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,50000,不明,3,1,"50,000 円","区分 料金 初回お試し 50,000 円 1 回(2 回目以降) 60,000 円 3 回セット 165,000 円(1 回あたり55,000 円)"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,60000,不明,3,1,"1 回(2 回目以降) 60,000 円","料金 初回お試し 50,000 円 1 回(2 回目以降) 60,000 円 3 回セット 165,000 円(1 回あたり55,000 円) 【料金に含まれる内容】"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,60000,不明,3,2,"2. 実施分は単回料金(1 回60,000 円)で計算いたします。","3 回セットは一括払いまたは分割払い(最⻑3 回まで) 【3 回セットご契約時の途中解約規定】 1. ご契約後に治療を途中で終了される場合は、以下の方法で清算いたします。 2. 実施分は単回料金(1 回60,000 円)で計算いたします。 3. 未実施分については、キャンセル料として残回数分の20%相当額を申し受けま す。 《例:3 回セットご契約後、2 回で終了の場合》"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,60000,不明,-4,2,"実施分:60,000 円×2 回=120,000 円","す。 《例:3 回セットご契約後、2 回で終了の場合》 • 実施分:60,000 円×2 回=120,000 円 • 未実施分キャンセル料:60,000 円×1 回×20%=12,000 円"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,120000,不明,-4,2,"実施分:60,000 円×2 回=120,000 円","す。 《例:3 回セットご契約後、2 回で終了の場合》 • 実施分:60,000 円×2 回=120,000 円 • 未実施分キャンセル料:60,000 円×1 回×20%=12,000 円"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,132000,不明,-4,3,"清算合計:132,000 円","• 清算合計:132,000 円 • 差額がある場合は返金または追加ご請求 【疼痛コントロールキット内容】"
V41_01E2505012,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505012/5/1,60000,不明,-10,2,"未実施分キャンセル料:60,000 円×1 回×20%=12,000 円","• 実施分:60,000 円×2 回=120,000 円 • 未実施分キャンセル料:60,000 円×1 回×20%=12,000 円"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,55000,不明,6,1,"165,000 円(1 回あたり55,000 円)","50,000 円 1 回(2 回目以降) 60,000 円 3 回セット 165,000 円(1 回あたり55,000 円) 【料金に含まれる内容】 • PRP 採血および調製(京セラダブルスピン法)"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,165000,不明,6,1,"165,000 円(1 回あたり55,000 円)","50,000 円 1 回(2 回目以降) 60,000 円 3 回セット 165,000 円(1 回あたり55,000 円) 【料金に含まれる内容】 • PRP 採血および調製(京セラダブルスピン法)"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,15000,不明,3,1,"+15,000 円","項目 料金 部位追加(1 箇所) +15,000 円 術後フォローカウンセリング(15 分) +3,000 円 疼痛コントロールキット"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,50000,不明,3,1,"50,000 円","区分 料金 初回お試し 50,000 円 1 回(2 回目以降) 60,000 円 3 回セット 165,000 円(1 回あたり55,000 円)"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,60000,不明,3,1,"1 回(2 回目以降) 60,000 円","料金 初回お試し 50,000 円 1 回(2 回目以降) 60,000 円 3 回セット 165,000 円(1 回あたり55,000 円) 【料金に含まれる内容】"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,60000,不明,3,2,"2. 実施分は単回料金(1 回60,000 円)で計算いたします。","3 回セットは一括払いまたは分割払い(最⻑3 回まで) 【3 回セットご契約時の途中解約規定】 1. ご契約後に治療を途中で終了される場合は、以下の方法で清算いたします。 2. 実施分は単回料金(1 回60,000 円)で計算いたします。 3. 未実施分については、キャンセル料として残回数分の20%相当額を申し受けま す。 《例:3 回セットご契約後、2 回で終了の場合》"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,60000,不明,-4,2,"実施分:60,000 円×2 回=120,000 円","す。 《例:3 回セットご契約後、2 回で終了の場合》 • 実施分:60,000 円×2 回=120,000 円 • 未実施分キャンセル料:60,000 円×1 回×20%=12,000 円"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,120000,不明,-4,2,"実施分:60,000 円×2 回=120,000 円","す。 《例:3 回セットご契約後、2 回で終了の場合》 • 実施分:60,000 円×2 回=120,000 円 • 未実施分キャンセル料:60,000 円×1 回×20%=12,000 円"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,132000,不明,-4,3,"清算合計:132,000 円","• 清算合計:132,000 円 • 差額がある場合は返金または追加ご請求 【疼痛コントロールキット内容】"
V41_01E2505013,吹田くわた内科・ペインクリニック,大阪府,PRP,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505013/5/1,60000,不明,-10,2,"未実施分キャンセル料:60,000 円×1 回×20%=12,000 円","• 実施分:60,000 円×2 回=120,000 円 • 未実施分キャンセル料:60,000 円×1 回×20%=12,000 円"
V41_01E2606017,医療法人信生会 Rクリニック,大阪府,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2606017/5/1,110000,税込,12,1,"ASC バンキング:1 年目無料、2 年目以降は1 年につき110,000 円(税込)","• 約2 週間の短期間培養:追加料金550,000 円(税込) • ASC バンキング:1 年目無料、2 年目以降は1 年につき110,000 円(税込) 本治療は公的医療保険の対象外であり、全額自己負担です。両膝を治療する場合は、各膝について治療費 が発生します。脂肪採取後は、原則として直ちに輸送及び培養加工工程に入るため、脂肪採取後に同意を 撤回した場合でも、支払済み費用の返金は原則として行いません。通院、宿泊、交通等に要する費用も患"
V41_01E2606017,医療法人信生会 Rクリニック,大阪府,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2606017/5/1,550000,税込,12,1,"約2 週間の短期間培養:追加料金550,000 円(税込)","• 1 膝・1 億個投与:2,200,000 円(税込) • 約2 週間の短期間培養:追加料金550,000 円(税込) • ASC バンキング:1 年目無料、2 年目以降は1 年につき110,000 円(税込) 本治療は公的医療保険の対象外であり、全額自己負担です。両膝を治療する場合は、各膝について治療費"
V41_01E2606017,医療法人信生会 Rクリニック,大阪府,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2606017/5/1,2200000,税込,1,1,"1 膝・1 億個投与:2,200,000 円(税込)","本治療を選択しない場合でも、担当医師と相談の上、上記その他の標準治療を選択できます。 別紙2.費用、短期間培養及び返金 • 1 膝・1 億個投与:2,200,000 円(税込) • 約2 週間の短期間培養:追加料金550,000 円(税込) •"
V41_02C1905014,医療法人社団 盛心会 タカラクリニック,東京都,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1905014/5/1,1500000,税別,-1,5,"⃞ 初診料 25,000円(税別) 施術費用 1,500,000円(税別)を支払います。","しました。 ⃞ 上記書面の内容を十分に理解し貴院に於ける手術方法の説明を受け疑問点については質 問をし、担当医より回答を得た上で、納得して手術を受けることを認めます。 ⃞ 初診料 25,000円(税別) 施術費用 1,500,000円(税別)を支払います。 ⃞ 手術、麻酔 予定日:令和 年 月 日 令和 年 月 日 患者氏名 住所"
V41_02C1909204,医療法人社団 秀慈会 リバーシティすずき整形外科,東京都,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1909204/5/2,80000,税別,11,1,"PRP注射1関節:採血30-32ml / PRP 4ml 80,000円","PRP治療施術料表 ・関節腔内への注入(第二種再生医療等技術) PRP注射1関節:採血30-32ml / PRP 4ml 80,000円 *料金は 税抜き価格です。 *各種クレジットカード、PayPay、 Alipayの利用が可能です。 *料金には診察料、採血・注射施術料、PRP精製技術料、"
V41_02C2505006,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505006/5/2,100000,不明,6,9,肪採取を行った場合、新たに脂肪採取費用として 10 万円がかかりますので、あらかじめご了,採取後に直ちに移送および細胞の培養を行うため、以下の返金の規定に沿って対応いたしま す)。 また、脂肪由来間葉系幹細胞数が本治療に必要な細胞数に満たなかった場合などで、再度、脂 肪採取を行った場合、新たに脂肪採取費用として 10 万円がかかりますので、あらかじめご了 承ください。 ※ 日本に在住の患者さんにおいては、本治療は医療費控除の対象となりますので、詳しくは最 寄りの税務署へお問い合わせください。
V41_02C2505006,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505006/5/2,1000000,不明,-3,9,細胞培養・保管費用などを含め方膝(1 億セル)あたり約 100 万円ですが、あなたのご病状な,話しください。 8. 費用について 本治療費用は保険外診療になるため、全額ご負担いただくことになります。本治療の概算は、 細胞培養・保管費用などを含め方膝(1 億セル)あたり約 100 万円ですが、あなたのご病状な どにより異なるため、詳細は当院のスタッフよりご説明いたします。 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払 いただいた費用の一部は返還できませんのであらかじめご了承ください(本治療では、脂肪組織
V41_02C2505009,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505009/5/2,350000,税込,4,10,35 万円,投与細胞数 費用(税込み) 0.5 億 35 万円 1 億 70 万円 2 億
V41_02C2505009,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505009/5/2,700000,不明,0,10,70 万円,0.5 億 35 万円 1 億 70 万円 2 億 140 万円 3 億
V41_02C2505009,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505009/5/2,1400000,不明,0,10,140 万円,1 億 70 万円 2 億 140 万円 3 億 210 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払いただいた
V41_02C2505009,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505009/5/2,2100000,不明,0,10,210 万円,2 億 140 万円 3 億 210 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払いただいた
V41_02C2505010,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505010/5/2,350000,税込,4,10,35 万円,投与細胞数 費用(税込み) 0.5 億 35 万円 1 億 70 万円 2 億
V41_02C2505010,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505010/5/2,700000,不明,0,10,70 万円,0.5 億 35 万円 1 億 70 万円 2 億 140 万円 3 億
V41_02C2505010,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505010/5/2,1400000,不明,0,10,140 万円,1 億 70 万円 2 億 140 万円 3 億 210 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払いただいた
V41_02C2505010,医療法人ネオポリス診療所銀座クリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2505010/5/2,2100000,不明,-1,10,210 万円,2 億 140 万円 3 億 210 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払いただいた 費用の一部は返還できませんのであらかじめご了承ください(本治療では、脂肪組織採取後に直ちに移送お よび細胞の培養を行うため、以下の返金の規定に沿って対応いたします)。
V41_02C2601085,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601085/5/1,500000,税別,5,2,55万円(税抜50万円),部位 費用 1関節1回投与 55万円(税抜50万円) 2関節1回投与 77万円(税抜70万円) 1関節2回投与
V41_02C2601085,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601085/5/1,550000,税別,5,2,55万円(税抜50万円),部位 費用 1関節1回投与 55万円(税抜50万円) 2関節1回投与 77万円(税抜70万円) 1関節2回投与
V41_02C2601085,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601085/5/1,700000,税別,1,2,77万円(税抜70万円),1関節1回投与 55万円(税抜50万円) 2関節1回投与 77万円(税抜70万円) 1関節2回投与 77万円(税抜70万円) 【本治療キャンセル時の費用】
V41_02C2601085,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601085/5/1,770000,税別,1,2,77万円(税抜70万円),1関節1回投与 55万円(税抜50万円) 2関節1回投与 77万円(税抜70万円) 1関節2回投与 77万円(税抜70万円) 【本治療キャンセル時の費用】
V41_02C2601086,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601086/5/2,55000,税別,12,2,"PRPを用いた投与1回分(1部位) 55,000円(税抜50,000","(60mL)につき、投与3回分(各投与約5mL、最大で約15mL) のPRPを製造いたします。両側(左右)同時に投与する場合は、投 与2回分となります。 PRPを用いた投与1回分(1部位) 55,000円(税抜50,000 円) (別途、検査費用をご負担いただきます。) 【本治療キャンセル時の費用】"
V41_02C2601087,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601087/5/2,55000,税別,12,2,"PRPを用いた投与1回分(1部位) 55,000円(税抜 50,000","投与にかかる費用の総額となります。なお、本治療は1回の採血 (60mL)につき、投与3回分(各投与約2mL、最大で約6mL)の PRPを製造いたします。 PRPを用いた投与1回分(1部位) 55,000円(税抜 50,000 円) (別途、検査費用をご負担いただきます。) 【本治療キャンセル時の費用】"
V41_02C2606015,アヴェニューセルクリニック,東京都,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2606015/5/1,800000,税別,9,6,"きます。実際に必要となる費用については今回の治療では 800,000 円(税抜)となります。","14.費用について 本治療は保険適用外であるため、治療にかかる費用全額をご自分でご負担いただきます。その 他、本治療を受けるために必要となった旅費、交通費などの全ての費用もご自分でご負担いただ きます。実際に必要となる費用については今回の治療では 800,000 円(税抜)となります。 なお、脂肪の採取後や、細胞加工物の製造後に同意を撤回された場合など、同意を撤回される時 点までに費用が発生している場合は、発生した費用についてはあなたにご負担いただきますので ご了承ください。"
V41_02C2606015,アヴェニューセルクリニック,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2606015/5/2,1300000,税別,9,6,"きます。実際に必要となる費用については今回の治療では 1,300,000 円(税抜)となります。","本治療は、治療にかかる費用全額をご自分でご負担いただきます。本治療は保険適用外である ため、治療にかかる費用全額をご自分でご負担いただきます。その他、本治療を受けるために必 要となった旅費、交通費などの全ての費用もご自分でご負担いただ きます。実際に必要となる費用については今回の治療では 1,300,000 円(税抜)となります。 また、通訳やコーディネーターをご利用の場合、通訳やコーディネーターを通して適宜フォローアッ プをさせていただきます。なお、料金にはフォローアップ費用も含まれております。 なお、脂肪の採取後や、細胞加工物の製造後に同意を撤回された場合など、同意を撤回される時"
