mhlw_plan_code	facility	amount	tax	unit	label	price_type	ranking_eligible	evidence_url	evidence_level	note	price_source	merge_status
01C2409023	日本大学病院	40000	税別	採血15ml・PRP4ml	関節内PRP治療費	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2409023/5/0	MHLW_EXACT_PLAN	学生価格35,000円は通常価格ランキングから除外。	MHLW_EXACT_PLAN_RECOVERY	READY
01C2409024	日本大学病院	40000	税別	採血15ml・PRP4ml	関節外PRP治療費	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2409024/5/0	MHLW_EXACT_PLAN	初診料・再診料は別途で付随費用。学生価格35,000円は通常価格ランキングから除外。	MHLW_EXACT_PLAN_RECOVERY	READY
03C2601047	銀座よしえクリニック都立大院	2200000	税込	初回	ADSC関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2601047/5/0	MHLW_EXACT_PLAN	診察・検査・再診・患部処置・細胞保管費は治療価格行から除外。	MHLW_EXACT_PLAN_RECOVERY	READY
03C2601047	銀座よしえクリニック都立大院	1650000	税込	2回目以降	ADSC関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2601047/5/0	MHLW_EXACT_PLAN	診察・検査・再診・患部処置・細胞保管費は治療価格行から除外。	MHLW_EXACT_PLAN_RECOVERY	READY
01C2302046	陽だまりクリニック 六本木院	200000	税込	15mL	PRP筋・腱・靭帯等治療	provisional	false	https://regene-m.jp/25976/	SECONDARY_EXACT_TREATMENT_MATCH_PRIMARY_PDF_PARSE_FAILED	同一施設・同一治療名の参考費用として20万円税込を確認。厚労省PDF本文の価格箇所を直接再取得できるまでランキング対象外。	SECONDARY_EXACT_MATCH	REVIEW_SECONDARY_SOURCE
03E2607012	長浜赤十字病院	330000	税込	一連につき	治療費	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2607012/5/0	MHLW_EXACT_PLAN	当日撤回時の診察料1,100円は付随費用として除外。	MHLW_EXACT_PLAN_RECOVERY	READY
03G2506011	社会医療法人 令和会 熊本リハビリテーション病院	1600000	税別	片側	ADRCs膝関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/03G2506011/5/0	MHLW_EXACT_PLAN	文書は『片側160万円・両側180万円（別途消費税）』と記載。	MHLW_EXACT_PLAN_RECOVERY	READY
03G2506011	社会医療法人 令和会 熊本リハビリテーション病院	1800000	税別	両側	ADRCs膝関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/03G2506011/5/0	MHLW_EXACT_PLAN	文書は『片側160万円・両側180万円（別途消費税）』と記載。	MHLW_EXACT_PLAN_RECOVERY	READY
02C2504042	医療法人社団快晴会 田奈整形外科・外科	1080000	税別	治療1回目・1部位	ASC関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2504042/5/0	MHLW_EXACT_PLAN	2部位以上は各回とも1部位追加ごと180,000円税別。1年経過後の継続費54,000円税別およびキャンセル費はランキング対象外。	MHLW_EXACT_PLAN_RECOVERY	READY
02C2504042	医療法人社団快晴会 田奈整形外科・外科	270000	税別	治療2回目・1部位	ASC関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2504042/5/0	MHLW_EXACT_PLAN	2部位以上は各回とも1部位追加ごと180,000円税別。1年経過後の継続費54,000円税別およびキャンセル費はランキング対象外。	MHLW_EXACT_PLAN_RECOVERY	READY
