priority,plan_id,facility_id,region,prefecture,facility,facility_source,facility_normalized,category,treatment,treatment_class,status,match_score,document_url,amount,tax,unit,products,makers,score,page,excerpt,qc_reason,error
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,59400,税込,1 部位,,,6,,"の価格 1 部位 275,000 円(税抜250,000 円) 製造した自家ASC は細胞培養加工施設で一時保存され、本治療に使用の際に当院へ輸送さ れます。自家ASC 製造のための脂肪採取から1 年を経過後に治療継続をご希望される場合、 継続にかかる費用を別途59,400 円(税込)ご負担いただきます。詳しくは、スタッフまで お尋ねください。 12. 治療を受けることを拒否することについて この治療を受けるか拒否するかは、ご自身の自由な意思でお決めください。説明を受けた後 に同意されない場合でも、一切不利益を受けることはありません。また同様に、治療を受け ることに同意した場合で",,
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,250000,税込,1 部位,,,6,,"更となる場合がございます。 初回投与時の価格 1 部位 990,000 円(税抜900,000 円) 2 部位 1,210,000 円(税抜1,100,000 円) 初回投与後、再投与を行う場合 再投与時の価格 1 部位 275,000 円(税抜250,000 円) 製造した自家ASC は細胞培養加工施設で一時保存され、本治療に使用の際に当院へ輸送さ れます。自家ASC 製造のための脂肪採取から1 年を経過後に治療継続をご希望される場合、 継続にかかる費用を別途59,400 円(税込)ご負担いただきます。詳しくは、スタッフまで お尋ねください。 12. 治療",,
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,275000,税込,1 部位,,,6,,"た医師の判断 等により変更となる場合がございます。 初回投与時の価格 1 部位 990,000 円(税抜900,000 円) 2 部位 1,210,000 円(税抜1,100,000 円) 初回投与後、再投与を行う場合 再投与時の価格 1 部位 275,000 円(税抜250,000 円) 製造した自家ASC は細胞培養加工施設で一時保存され、本治療に使用の際に当院へ輸送さ れます。自家ASC 製造のための脂肪採取から1 年を経過後に治療継続をご希望される場合、 継続にかかる費用を別途59,400 円(税込)ご負担いただきます。詳しくは、スタッフまで お尋ねくださ",,
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,726000,税込,,,,6,,"7 た費用をお支払いいただきます。 ・ 脂肪採取前に治療をとりやめた場合、費用のお支払いはございません。 ・ 脂肪採取後から投与の予約確定前までに治療をとりやめた場合、330,000 円(税込)を お支払いいただきます。 ・ 投与の予約確定後に治療をとりやめた場合、726,000 円(税込)をお支払いいただきま す。 また治療を行った後は、健康管理のために必要に応じて適切な検査を受けていただき、医学 的に問題がないかを確認させていただきます。 13. 個人情報保護について 「個人情報の保護に関する法律」に基づき、当院には、個人情報取扱実施規程があります。 この規程に基づき、患者さまの",,
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,900000,税別,1 回,,,6,,"ただきま す。治療にかかる費用につきましては以下の表をご参照ください。ご不明な点は医師・スタ ッフにお尋ねください。なお1 回の施術あたりの費用は、患部の状態を確認した医師の判断 等により変更となる場合がございます。 初回投与時の価格 1 部位 990,000 円(税抜900,000 円) 2 部位 1,210,000 円(税抜1,100,000 円) 初回投与後、再投与を行う場合 再投与時の価格 1 部位 275,000 円(税抜250,000 円) 製造した自家ASC は細胞培養加工施設で一時保存され、本治療に使用の際に当院へ輸送さ れます。自家ASC 製造の",,
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,990000,税別,1 回,,,6,,"所定の施術料をお支払いいただきま す。治療にかかる費用につきましては以下の表をご参照ください。ご不明な点は医師・スタ ッフにお尋ねください。なお1 回の施術あたりの費用は、患部の状態を確認した医師の判断 等により変更となる場合がございます。 初回投与時の価格 1 部位 990,000 円(税抜900,000 円) 2 部位 1,210,000 円(税抜1,100,000 円) 初回投与後、再投与を行う場合 再投与時の価格 1 部位 275,000 円(税抜250,000 円) 製造した自家ASC は細胞培養加工施設で一時保存され、本治療に使用の際に当院へ輸送さ れ",,
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,1100000,税別,1 回,,,6,,"。ご不明な点は医師・スタ ッフにお尋ねください。なお1 回の施術あたりの費用は、患部の状態を確認した医師の判断 等により変更となる場合がございます。 初回投与時の価格 1 部位 990,000 円(税抜900,000 円) 2 部位 1,210,000 円(税抜1,100,000 円) 初回投与後、再投与を行う場合 再投与時の価格 1 部位 275,000 円(税抜250,000 円) 製造した自家ASC は細胞培養加工施設で一時保存され、本治療に使用の際に当院へ輸送さ れます。自家ASC 製造のための脂肪採取から1 年を経過後に治療継続をご希望される場合、 継続にか",,
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,1210000,税別,1 回,,,6,,"ては以下の表をご参照ください。ご不明な点は医師・スタ ッフにお尋ねください。なお1 回の施術あたりの費用は、患部の状態を確認した医師の判断 等により変更となる場合がございます。 初回投与時の価格 1 部位 990,000 円(税抜900,000 円) 2 部位 1,210,000 円(税抜1,100,000 円) 初回投与後、再投与を行う場合 再投与時の価格 1 部位 275,000 円(税抜250,000 円) 製造した自家ASC は細胞培養加工施設で一時保存され、本治療に使用の際に当院へ輸送さ れます。自家ASC 製造のための脂肪採取から1 年を経過後に治療継続を",,
A,P00645,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,多血小板血漿（PRP）による関節治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2307008/5/0,100000,税込,,APS|GPS|Zimmer,Zimmer Biomet,8,,"長)へと報告して対応させていただきます。 窓口部署:事務 連絡先:0776-57-5000 12.費用について この治療は公的保険の対象ではありませんので、当院所定の施術料をお支払いいただきます。 ・ZIMMER BIOMET 製 GPS®IIIシステム使用 100,000円 (税込110,000円) (APSキットを使用せず、作製したPRPをそのまま使用する場合) ・GPS®IIIシステム、APSキット使用 300,000円 (税込330,000円) (APSキットを使用してさらに抽出を行い純度を高めて使用する場合) ※患者様の症状により治療費が変動いたします。 施術後、患者様の",,
A,P00645,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,多血小板血漿（PRP）による関節治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2307008/5/0,110000,税込,,APS|GPS|Zimmer,Zimmer Biomet,8,,"ていただきます。 窓口部署:事務 連絡先:0776-57-5000 12.費用について この治療は公的保険の対象ではありませんので、当院所定の施術料をお支払いいただきます。 ・ZIMMER BIOMET 製 GPS®IIIシステム使用 100,000円 (税込110,000円) (APSキットを使用せず、作製したPRPをそのまま使用する場合) ・GPS®IIIシステム、APSキット使用 300,000円 (税込330,000円) (APSキットを使用してさらに抽出を行い純度を高めて使用する場合) ※患者様の症状により治療費が変動いたします。 施術後、患者様の個人的な事情及び金銭等に",,
A,P00645,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,多血小板血漿（PRP）による関節治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2307008/5/0,300000,税込,,APS|GPS|Zimmer,Zimmer Biomet,8,,"所定の施術料をお支払いいただきます。 ・ZIMMER BIOMET 製 GPS®IIIシステム使用 100,000円 (税込110,000円) (APSキットを使用せず、作製したPRPをそのまま使用する場合) ・GPS®IIIシステム、APSキット使用 300,000円 (税込330,000円) (APSキットを使用してさらに抽出を行い純度を高めて使用する場合) ※患者様の症状により治療費が変動いたします。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねますのでご了 承ください。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意を撤回される",,
A,P00645,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,多血小板血漿（PRP）による関節治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2307008/5/0,330000,税込,,APS|GPS|Zimmer,Zimmer Biomet,8,,"ただきます。 ・ZIMMER BIOMET 製 GPS®IIIシステム使用 100,000円 (税込110,000円) (APSキットを使用せず、作製したPRPをそのまま使用する場合) ・GPS®IIIシステム、APSキット使用 300,000円 (税込330,000円) (APSキットを使用してさらに抽出を行い純度を高めて使用する場合) ※患者様の症状により治療費が変動いたします。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねますのでご了 承ください。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意を撤回される時点までに費用が発生し",,
A,P00646,F0457,中部,福井県,Ｍクリニック,Ｍクリニック,Ｍクリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510006/5/0,55000,税込,両側,,,11,7,"調製のための採血、PRP 調製、注入にかかる費用の総額となります。左右 両側に投与する場合は、2 回分です。 PRP 1 回(1 部位) 55,000 円(税込) (3) 採血を開始してからキャンセルされた場合は、費用の全額をご負担いた だきます。",line-level strong price context,
A,P00652,F0460,中部,長野県,Aｉクリニック整形外科リハビリテーション科,Aｉクリニック整形外科リハビリテーション科,Aｉクリニック整形外科リハビリテーション科,第二種,変形性関節症および関節腔の傷害を対象とした自家多血小板血漿（PRP）注入療法,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2308062/5/0,,,,,,,,,no price found after text/OCR pass,RuntimeError: Tesseract process timeout
A,P00653,F0461,中部,長野県,サンマリーンクリニック,サンマリーンクリニック,サンマリーンクリニック,第二種,自家多血小板血漿（PRP）を用いた変形性関節症および関節腔内の治療,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2506002/5/0,,,,,,,,,no price found after text/OCR pass,RuntimeError: Tesseract process timeout
A,P00654,F0462,中部,長野県,一般社団法人MOSC 百瀬整形外科スポーツクリニック,一般社団法人MOSC 百瀬整形外科スポーツクリニック,一般社団法人MOSC 百瀬整形外科スポーツクリニック,第二種,自家脂肪組織由来幹細胞（ASC）の投与による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2412077/5/0,990000,税込,2 回,,,8,7,"1 関節(片膝など)投与の施術費用 単回投与 990,000 円(税込) 2 回投与 1,320,000 円(税込)",line-level medium price context,
A,P00654,F0462,中部,長野県,一般社団法人MOSC 百瀬整形外科スポーツクリニック,一般社団法人MOSC 百瀬整形外科スポーツクリニック,一般社団法人MOSC 百瀬整形外科スポーツクリニック,第二種,自家脂肪組織由来幹細胞（ASC）の投与による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2412077/5/0,1320000,税込,2 回,,,8,7,"990,000 円(税込) 2 回投与 1,320,000 円(税込) 2 関節(両膝など)投与の施術費用 単回投与",line-level medium price context,
A,P00655,F0463,中部,長野県,佐久市立国保浅間総合病院,佐久市立国保浅間総合病院,佐久市立国保浅間総合病院,第二種,多血小板血漿（PRP）を用いた変形性関節症治療,PRP,AUTO,0.952,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2504072/5/0,150000,税別,,,,8,,"定性 PRP は患者様自身の血液から製造するため、品質が ばらつく可能性がある。 医薬品として承認されて おり、品質は安定している アレルギーの 可能性 自家移植のため、極めて低い。 品質管理された安全性の 高いものだが、アレルギー 反応などの可能性を完全 には否定できない。 費用 150,000 円(税抜) 300,000 円(税抜) 保険適用:2000 円前後/回 (膝関節内投与の場合) 詳細やご不明な点は医師・スタッフまでお気軽にお尋ねください。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねますのでご 了承ください。 その他治療についての注意事項",,
A,P00655,F0463,中部,長野県,佐久市立国保浅間総合病院,佐久市立国保浅間総合病院,佐久市立国保浅間総合病院,第二種,多血小板血漿（PRP）を用いた変形性関節症治療,PRP,AUTO,0.952,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2504072/5/0,2000,税別,,,,6,,"能性がある。 医薬品として承認されて おり、品質は安定している アレルギーの 可能性 自家移植のため、極めて低い。 品質管理された安全性の 高いものだが、アレルギー 反応などの可能性を完全 には否定できない。 費用 150,000 円(税抜) 300,000 円(税抜) 保険適用:2000 円前後/回 (膝関節内投与の場合) 詳細やご不明な点は医師・スタッフまでお気軽にお尋ねください。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねますのでご 了承ください。 その他治療についての注意事項 患者様の体調が良くない場合や、採取した血液",,
A,P00655,F0463,中部,長野県,佐久市立国保浅間総合病院,佐久市立国保浅間総合病院,佐久市立国保浅間総合病院,第二種,多血小板血漿（PRP）を用いた変形性関節症治療,PRP,AUTO,0.952,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2504072/5/0,300000,税別,,,,6,,"血液から製造するため、品質が ばらつく可能性がある。 医薬品として承認されて おり、品質は安定している アレルギーの 可能性 自家移植のため、極めて低い。 品質管理された安全性の 高いものだが、アレルギー 反応などの可能性を完全 には否定できない。 費用 150,000 円(税抜) 300,000 円(税抜) 保険適用:2000 円前後/回 (膝関節内投与の場合) 詳細やご不明な点は医師・スタッフまでお気軽にお尋ねください。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねますのでご 了承ください。 その他治療についての注意事項 患者様の",,
A,P00656,F0464,中部,長野県,佐久平整形外科クリニック,佐久平整形外科クリニック,佐久平整形外科クリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎ならびに関節内軟骨・靭帯損傷の治療（関節内組織）,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503067/5/0,50000,税別,1 回(1 部位),ACP,Arthrex,6,7,"費用(税別) ACP 1 回(1 部位) 50,000 円 ACP(学割) 1 回(1 部位) 35,000 円",price candidates remain ambiguous,
A,P00656,F0464,中部,長野県,佐久平整形外科クリニック,佐久平整形外科クリニック,佐久平整形外科クリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎ならびに関節内軟骨・靭帯損傷の治療（関節内組織）,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503067/5/0,150000,不明,1 回(1 部位),ACP MAX|ACP,Arthrex,5,7,"1 回(1 部位) 95,000 円 ACP MAX 1 回(1 部位) 150,000 円 (3) 採血を開始してからのキャンセルについては、キャンセル費用をいただ きます。",price candidates remain ambiguous,
A,P00656,F0464,中部,長野県,佐久平整形外科クリニック,佐久平整形外科クリニック,佐久平整形外科クリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎ならびに関節内軟骨・靭帯損傷の治療（関節内組織）,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503067/5/0,35000,不明,1 回(1 部位),ACP,Arthrex,2,7,"1 回(1 部位) 50,000 円 ACP(学割) 1 回(1 部位) 35,000 円 ACP ダブルショット 1 回(1 部位) 95,000 円",price candidates remain ambiguous,
A,P00656,F0464,中部,長野県,佐久平整形外科クリニック,佐久平整形外科クリニック,佐久平整形外科クリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎ならびに関節内軟骨・靭帯損傷の治療（関節内組織）,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503067/5/0,95000,不明,1 回(1 部位),ACP MAX|ACP,Arthrex,2,7,"1 回(1 部位) 35,000 円 ACP ダブルショット 1 回(1 部位) 95,000 円 ACP MAX 1 回(1 部位) 150,000 円",price candidates remain ambiguous,
A,P00657,F0402,中部,長野県,医療法人仁雄会 穂高病院,医療法人仁雄会 穂高病院,医療法人仁雄会 穂高病院,第二種,自家多血小板血漿（PRP）を用いた変形性関節症および関節腔内の治療,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2507002/5/0,,,,,,,,,no price found after text/OCR pass,RuntimeError: Tesseract process timeout
A,P00658,F0403,中部,長野県,医療法人弘仁会 かもいクリニック,医療法人弘仁会 かもいクリニック,医療法人弘仁会 かもいクリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2210029/5/0,50000,税込,両側,,,11,7,"る費用の総額となります。左右両側に投与する場合は、2 回分です。 ■血液検査(実施する場合) 15,000 円(税込) ■PRP 1 回(1 部位) 50,000 円(税込) 11. 試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみ",line-level strong price context,
