facility_key	prefecture	facility	mhlw_plan_codes	official_products	official_explicit_makers	manufacturer_share_groups	legal_manufacturers	japan_mah_or_suppliers	evidence_type	safe_resolved	product_resolved	evidence_json
兵庫県|兵庫県立リハビリテーション中央病院	兵庫県	兵庫県立リハビリテーション中央病院	03E2507022|03E2509015	APS		Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	VALIDATED_PRODUCT_MAP_OFFICIAL	YES	YES	"[{""url"": ""https://hwc-sports.jp/treatments/"", ""title"": ""診療案内 | 兵庫県立リハビリテーション中央病院 スポーツ医学診療センター"", ""products"": [""APS""], ""makers"": [], ""product_context"": {""APS"": [""ります。また、遊離した軟骨片が関節内に挟まるとロッキング症状が出現し、急に関節の曲げ伸ばしができなくなることがあります。 治療 病態に応じてマイクロフラクチャー/アブレージョンコンドロプラスティ（骨髄刺激）、モザイクプラスティ（自家骨軟骨柱移植）、自家培養軟骨移植術を行います。また、患者様ご自身の血液を抽出し、多血小板血漿（PRP）療法や自己タンパク質溶液（APS）などの細胞治療も行っています。 再生医療ページ 入院期間 約2～6週間（手術に応じて異なります） スポーツ復帰 約6～12か月（手術に応じて異なります） 自家培養軟骨移植術 術中所見 大腿骨内顆の軟骨欠損部（写真上）に、自家培養軟骨のシートを移植します（写真下）。 変形性膝関節症 変形性膝関節症とは、加齢や重作業、スポーツなどの影響から膝の関節軟骨がすり減""]}, ""maker_context"": {}}]"
兵庫県|医療法人LIGHTKobeOCEANSClinic	兵庫県	医療法人LIGHT Kobe OCEANS Clinic	01E2303021|01E2303022						NONE	NO	NO	[]
兵庫県|医療法人社団中神クリニック	兵庫県	医療法人社団 中神クリニック	03E2305041						NONE	NO	NO	[]
兵庫県|医療法人社団武部整形外科リハビリテーション	兵庫県	医療法人社団武部整形外科リハビリテーション	01E2109006|01E2110023						NONE	NO	NO	[]
兵庫県|医療法人財団神戸海星病院	兵庫県	医療法人財団 神戸海星病院	02E2504009	APS		Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	VALIDATED_PRODUCT_MAP_OFFICIAL	YES	YES	"[{""url"": ""https://www.kobe-kaisei.org/feature/prp/"", ""title"": ""PRP（多血小板血漿）療法について | 特色と取り組み | 神戸市灘区の医療法人財団 神戸海星病院"", ""products"": [""APS""], ""makers"": [], ""product_context"": {""APS"": [""療法は、国内では歯科口腔外科や形成外科分野での使用にはじまり、近年は整形外科領域でも様々な分野での臨床使用の報告がありますが、その成績に対する見解は一定しておらず、まだ治療法としては確率されていません。しかしながら、スポーツ障害などに対して低侵襲な治療かつ早期回復などの臨床成績の報告もあることから、今後の発展が期待されている再生治療です。 整形外科 PRP(APS)外来のご案内 当院では、ひざの痛みに対する専門外来を開始し、 APS(ひざ関節)治療を行っています。 ご予約については、下記までお問合せ下さい。 整形外科 PRP(APS)外来 ご予約 医療連携センター 078-871-5201 受付時間： 平日 8:30 ～ 17:00 土曜 8:30 ～ 17:00 診療日 火曜 14:00 ～ 16:00 土曜 9:"", ""形外科領域でも様々な分野での臨床使用の報告がありますが、その成績に対する見解は一定しておらず、まだ治療法としては確率されていません。しかしながら、スポーツ障害などに対して低侵襲な治療かつ早期回復などの臨床成績の報告もあることから、今後の発展が期待されている再生治療です。 整形外科 PRP(APS)外来のご案内 当院では、ひざの痛みに対する専門外来を開始し、 APS(ひざ関節)治療を行っています。 ご予約については、下記までお問合せ下さい。 整形外科 PRP(APS)外来 ご予約 医療連携センター 078-871-5201 受付時間： 平日 8:30 ～ 17:00 土曜 8:30 ～ 17:00 診療日 火曜 14:00 ～ 16:00 土曜 9:00 ～ 16:00 APS(ひざ関節)治療について 患者様自身の血液""]}, ""maker_context"": {}}]"
兵庫県|医療法人雅武富整形外科	兵庫県	医療法人雅 武富整形外科	01E2308015						NONE	NO	NO	[]
兵庫県|木本整形外科クリニック	兵庫県	木本整形外科クリニック	01E2511015|01E2511019	MyCells		ESTAR Technologies	ESTAR Technologies Ltd.	ディーマー・メディカル・ジャパン	VALIDATED_PRODUCT_MAP_OFFICIAL	YES	YES	"[{""url"": ""https://kimotoclinic.com/regenerative/"", ""title"": ""再生医療 - 木本整形外科クリニック"", ""products"": [""MyCells""], ""makers"": [], ""product_context"": {""MyCells"": [""働きに加え、組織の修復に関わる成長因子を放出する役割があり、血小板を濃縮することで、損傷した組織の回復促進や、炎症・痛みの軽減が期待されています。 自己血液を使用するため、アレルギーや拒絶反応のリスクが低いことも特徴のひとつです。近年では、変形性関節症をはじめ、筋肉・腱・靱帯の損傷、スポーツによる障害など、幅広い整形外科領域で導入されています。 厚労省承認のマイセルキットを使用 当院では、厚生労働省承認の「Mycells PRPキット」 を使用し、高精度にPRPを抽出しています。（医療機器承認番号：30400BZX00169000）。 このキットは、赤血球や好中球を含まない高濃度PRPを1回の遠心で作製 でき、目的に応じて濃度や量を調整可能です。 精密なPRPを使用することで、肌や組織の修復力を最大限に引き出し、安全か"", ""割があり、血小板を濃縮することで、損傷した組織の回復促進や、炎症・痛みの軽減が期待されています。 自己血液を使用するため、アレルギーや拒絶反応のリスクが低いことも特徴のひとつです。近年では、変形性関節症をはじめ、筋肉・腱・靱帯の損傷、スポーツによる障害など、幅広い整形外科領域で導入されています。 厚労省承認のマイセルキットを使用 当院では、厚生労働省承認の「Mycells PRPキット」 を使用し、高精度にPRPを抽出しています。（医療機器承認番号：30400BZX00169000）。 このキットは、赤血球や好中球を含まない高濃度PRPを1回の遠心で作製 でき、目的に応じて濃度や量を調整可能です。 精密なPRPを使用することで、肌や組織の修復力を最大限に引き出し、安全かつ効果的な治療を提供しています。 また、当院ではFGFな""]}, ""maker_context"": {}}]"
兵庫県|特定医療法人誠仁会大久保病院	兵庫県	特定医療法人誠仁会 大久保病院	02E1906017						NONE	NO	NO	[]
兵庫県|藤田整形外科スポーツクリニック	兵庫県	藤田整形外科 スポーツクリニック	01E2506023|01E2506024						NONE	NO	NO	[]
北海道|札幌ひざのセルクリニック	北海道	札幌ひざのセルクリニック	01A2312001|01A2312002|01A2312003						NONE	NO	NO	[]
千葉県|しろやまいたみのクリニック	千葉県	しろやまいたみのクリニック	01C2502010						NONE	NO	NO	[]
千葉県|ジェフユナイテッド株式会社診療所	千葉県	ジェフユナイテッド株式会社 診療所	02C2201001						NONE	NO	NO	[]
千葉県|医療法人成春会北習志野花輪病院	千葉県	医療法人成春会 北習志野花輪病院	02C2512026						NONE	NO	NO	[]
千葉県|医療法人社団順徳会下総中山整形外科クリニック	千葉県	医療法人社団 順徳会 下総中山整形外科クリニック	02C2601085|02C2601086|02C2601087						NONE	NO	NO	[]
千葉県|医療法人社団オルソプラスむらた整形外科	千葉県	医療法人社団オルソプラス  むらた整形外科	01C2409051|01C2409052						NONE	NO	NO	[]
千葉県|医療法人社団仁敬会そがセントラルクリニック	千葉県	医療法人社団仁敬会 そがセントラルクリニック	01C2202017|01C2202018						NONE	NO	NO	[]
千葉県|医療法人社団千聡会北原整形外科	千葉県	医療法人社団千聡会  北原整形外科	02C2501012|02C2501013						NONE	NO	NO	[]
千葉県|医療法人社団奏の杜整形外科	千葉県	医療法人社団奏の杜整形外科	01C2102007						NONE	NO	NO	[]
千葉県|医療法人社団志高会たてやま整形外科クリニック	千葉県	医療法人社団志高会 たてやま整形外科クリニック	01C2312002|01C2312003						NONE	NO	NO	[]
千葉県|医療法人社団明敬会重城病院	千葉県	医療法人社団明敬会 重城病院	03C2207033|03C2207034						NONE	NO	NO	[]
千葉県|医療法人社団曙会流山中央病院	千葉県	医療法人社団曙会 流山中央病院	01C2106043|01C2108006						NONE	NO	NO	[]
千葉県|医療法人社団煌和会國分クリニック	千葉県	医療法人社団煌和会 國分クリニック	01C2202006						NONE	NO	NO	[]
千葉県|医療法人社団誠富会成田整形外科	千葉県	医療法人社団誠富会 成田整形外科	02C2503026|02C2503029						NONE	NO	NO	[]
千葉県|医療法人社団誠馨会千葉メディカルセンター	千葉県	医療法人社団誠馨会 千葉メディカルセンター	02C2506050|02C2506051						NONE	NO	NO	[]
千葉県|千葉ニュータウン整形外科リハビリテーションクリニック	千葉県	千葉ニュータウン整形外科リハビリテーションクリニック	01C2407085|01C2407086						NONE	NO	NO	[]
千葉県|柏の葉キャンパス整形外科	千葉県	柏の葉キャンパス整形外科	03C2410007|03C2410034						NONE	NO	NO	[]
千葉県|柏はせがわ整形外科	千葉県	柏はせがわ整形外科	01C2206026						NONE	NO	NO	[]
千葉県|順天堂大学医学部附属浦安病院	千葉県	順天堂大学医学部附属浦安病院	02C2109023|02C2109024						NONE	NO	NO	[]
和歌山県|医療法人琉憲会ナカイマ整形外科クリニック	和歌山県	医療法人琉憲会 ナカイマ整形外科クリニック	02E2407029|02E2407030						NONE	NO	NO	[]
埼玉県|まくり整形外科クリニック	埼玉県	まくり整形外科クリニック	03C2305021						NONE	NO	NO	[]
埼玉県|医療法人川久保病院	埼玉県	医療法人 川久保病院	02C2001042						NONE	NO	NO	[]
埼玉県|医療法人元志会川越TACA川越下肢静脈瘤膝関節クリニック	埼玉県	医療法人元志会  川越TACA川越下肢静脈瘤膝関節クリニック	03C2607036						NONE	NO	NO	[]
埼玉県|医療法人彰友会小林整形外科	埼玉県	医療法人彰友会 小林整形外科	01C2401026						NONE	NO	NO	[]
埼玉県|医療法人社団iDさいたま新都心iD整形外科	埼玉県	医療法人社団iD さいたま新都心iD整形外科	01C2503031						NONE	NO	NO	[]
埼玉県|医療法人社団スマイル&ファインいしがみ整形外科クリニック	埼玉県	医療法人社団スマイル&ファイン いしがみ整形外科クリニック	01C2402038						NONE	NO	NO	[]
埼玉県|医療法人社団南越谷病院	埼玉県	医療法人社団南越谷病院	01C2102010|01C2102011						NONE	NO	NO	[]
埼玉県|医療法人社団祐慈会井上整形外科クリニック	埼玉県	医療法人社団祐慈会 井上整形外科クリニック	03C2305016						NONE	NO	NO	[]
埼玉県|埼玉整形外科スポーツクリニック	埼玉県	埼玉整形外科スポーツクリニック	01C2606063|01C2607019						NONE	NO	NO	[]
埼玉県|大宮はしもと整形外科	埼玉県	大宮はしもと整形外科	01C2204013|01C2212041	APS		Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	VALIDATED_PRODUCT_MAP_OFFICIAL	YES	YES	"[{""url"": ""https://omiyahashimoto.com/prp"", ""title"": ""PRP療法とは | 大宮の大宮はしもと整形外科"", ""products"": [""APS""], ""makers"": [], ""product_context"": {""APS"": [""の血小板が多く含まれる部分のみを抽出し、自己PRPを作成します。 このPRP中には、成長因子が豊富に含まれますので、これを自分の身体の傷んだ部分に注射すると、その部分の組織の修復が促進され、”早期治癒”や”疼痛の軽減”効果をもたらします。 部位にもよりますが当院では多くの方に症状の改善を認めています。 ※現在PRP-FD療法(PRPを高濃度に凝縮したもの)やAPS療法(血小板から放出されるサイトカインのみを抽出したもの)など様々な形のPRP療法が存在します。近年筑波大学や海外の大学において、PRP-FDのように高度に濃縮したPRPではかえって組織の治癒が阻害される場合があることが実証されてきました。PRP-FDは医療機関で採取した血液を他機関に依頼して作成したPRPを乾燥させて保存しておき、日を改めて患者さんに戻す際"", ""関に依頼して作成したPRPを乾燥させて保存しておき、日を改めて患者さんに戻す際に水を加えて戻したものです。自施設でPRPを作らない医療機関にとっては便利な方法ですが、せっかく採取したPRPを乾燥させてしまうため血小板の再生能力が損なわれてしまう事が懸念されます。当院では自施設で血液を採取してすぐにPRPを作成しているため、新鮮な血小板を注入できるのです。またAPSのようにサイトカインの液体のみを注入するよりも血小板を患部に留まらせて持続的に治癒を促すサイトカインを放出させた方が成績が良いこともわかってきました。当院では筑波大らの研究結果に基づき、現在考えられている最適のPRP(全血液の2倍程度の濃縮率の血小板を含むPRP)を作成しています。 膝の痛み 膝の痛みのある方は、PRP療法の良い適応になります。変形性関節症で""]}, ""maker_context"": {}}]"
埼玉県|根本外科整形外科	埼玉県	根本外科整形外科	01C2303014|01C2303015						NONE	NO	NO	[]
埼玉県|独立行政法人国立病院機構西埼玉中央病院	埼玉県	独立行政法人国立病院機構西埼玉中央病院	02C1911189						NONE	NO	NO	[]
大分県|仙波整形外科	大分県	仙波整形外科	01G2101005						NONE	NO	NO	[]
大分県|医療法人恵愛会中村病院	大分県	医療法人恵愛会 中村病院	02G1911002						NONE	NO	NO	[]
大分県|猿渡整形外科スポーツリハクリニック	大分県	猿渡整形外科スポーツリハクリニック	01G2010001	Condensia	京セラ	京セラ	京セラ	京セラ	EXPLICIT_OFFICIAL	YES	YES	"[{""url"": ""https://sawatari-cl.com/prp%E7%99%82%E6%B3%95/"", ""title"": ""PRP療法 | 猿渡整形外科スポーツリハクリニック"", ""products"": [""Condensia""], ""makers"": [""京セラ""], ""product_context"": {""Condensia"": [""スポーツをしていて早く復帰したい 長い持続効果のある治療をしたい 薬剤アレルギーがあり治療ができない 治療の流れ 治療は日帰りで終わります。原則として麻酔は必要ありません。 ※治療当日は飲酒や入浴をお控えください。 ① 患者様の血液を約10〜20mL 取ります。 ② 血液を遠心分離機にかけ、PRPを作製します。 ③ PRPを患部に注入します。 費用 京セラCondensiaシステムによるP R P作成を行なっております。 厚生労働省より認可を受けた医療機関のみ行う治療ですが、日本ではまだ先進医療扱いのため、保険適用ではありません。 今現在、つらい痛みを抱えて、何とかしたいと考えている患者さんに治療の選択肢を増やすため、当院ではこの治療を希望する方に自費診療として提供しています。 当院では実際の効果判定ができるまでは、治療導入に""]}, ""maker_context"": {""京セラ"": [""節症 ひざ、肩の痛みがとれない 今の治療に成果を感じられない 慢性化した痛みを治したい スポーツをしていて早く復帰したい 長い持続効果のある治療をしたい 薬剤アレルギーがあり治療ができない 治療の流れ 治療は日帰りで終わります。原則として麻酔は必要ありません。 ※治療当日は飲酒や入浴をお控えください。 ① 患者様の血液を約10〜20mL 取ります。 ② 血液を遠心分離機にかけ、PRPを作製します。 ③ PRPを患部に注入します。 費用 京セラCondensiaシステムによるP R P作成を行なっております。 厚生労働省より認可を受けた医療機関のみ行う治療ですが、日本ではまだ先進医療扱いのため、保険適用ではありません。 今現在、つらい痛みを抱えて、何とかしたいと考えている患者さんに治療の選択肢を増やすため、当院ではこの治療を希望する方に自費診療として提供しています。 当院では実際の効果判定ができるまでは、治療導入にかかる費用を度外視し、利益の出ないレベルでの価格帯（国内で最も""]}}, {""url"": ""https://sawatari-cl.com/%E6%B2%BB%E7%99%82%E5%86%85%E5%AE%B9%E8%A9%B3%E7%B4%B0/"", ""title"": ""治療内容詳細 | 猿渡整形外科スポーツリハクリニック"", ""products"": [""Condensia""], ""makers"": [""京セラ""], ""product_context"": {""Condensia"": [""いものです） ・内出血 ・採血に伴うめまい、気分不良 ・感染（まれですが、 関節内感染を起こした場合は入院治療が必要になることがあります ） ・十分な効果が得られない場合があります 次の方は受けられない、または慎重な判断が必要です。 妊娠中・授乳中の方、悪性腫瘍の治療中の方、 血液の病気がある方、 治療部位に感染がある方、抗血栓薬を服用中の方。 費用 京セラCondensiaシステムによるP R P作成を行なっております。 本治療は、再生医療等の安全性の確保等に関する法律に基づき、認定再生医療等委員会の審査を経て、厚生労働省（九州厚生局）へ再生医療等提供計画を届け出たうえで実施している自由診療です。保険は適用されません。 今現在、つらい痛みを抱えて、何とかしたいと考えている患者さんに治療の選択肢を増やすため、当院ではこの治療を希""]}, ""maker_context"": {""京セラ"": [""す。 副作用 ・注射した部位の痛み、腫れ、熱感（ 数日から1週間程度でおさまることが多いものです） ・内出血 ・採血に伴うめまい、気分不良 ・感染（まれですが、 関節内感染を起こした場合は入院治療が必要になることがあります ） ・十分な効果が得られない場合があります 次の方は受けられない、または慎重な判断が必要です。 妊娠中・授乳中の方、悪性腫瘍の治療中の方、 血液の病気がある方、 治療部位に感染がある方、抗血栓薬を服用中の方。 費用 京セラCondensiaシステムによるP R P作成を行なっております。 本治療は、再生医療等の安全性の確保等に関する法律に基づき、認定再生医療等委員会の審査を経て、厚生労働省（九州厚生局）へ再生医療等提供計画を届け出たうえで実施している自由診療です。保険は適用されません。 今現在、つらい痛みを抱えて、何とかしたいと考えている患者さんに治療の選択肢を増やすため、当院ではこの治療を希望する方に自費診療として提供しています。 当院では実際の効果判""]}}]"
大阪府|CELLGRANDCLINIC	大阪府	CELL GRAND CLINIC	01E2412017|01E2502004|01E2602015						NONE	NO	NO	[]
大阪府|ONECLINIC梅田	大阪府	ONE CLINIC 梅田	01E2112013	MyCells		ESTAR Technologies	ESTAR Technologies Ltd.	ディーマー・メディカル・ジャパン	VALIDATED_PRODUCT_MAP_OFFICIAL	YES	YES	"[{""url"": ""https://one-clinic-umeda.com/prp-therapy/"", ""title"": ""PRP療法｜梅田のONE CLINIC 梅田へ"", ""products"": [""MyCells""], ""makers"": [], ""product_context"": {""MyCells"": [""管修復、コラーゲン生成を助けます。 VEGF （血管内皮増殖因子） 血管内皮細胞の増殖や新生を促進します。 TGF- β（変形成成長因子β） 上皮細胞、血管内皮細胞の増殖や新生、傷の治癒を刺激します。 これらの成長因子は、傷の治癒や細胞再生、コラーゲン生成などにおいて効果的で、血管や肌の若返りに貢献します。 PRPキットについて 当院では、安全性が確認されたMyCells（マイセル）というPRP作成キット（Kaylight社製）を使用しております。このキットはアメリカのFDAおよびヨーロッパCEマークの認証を受けており、日本の厚生労働省に相当する機関による認定も取得しており、非常に高い安全性を誇っています。採血からPRP作成まで閉鎖チューブ内で行われるため、異物や細菌の混入の心配がありません。 スポーツによる怪我の治療 スポ"", ""ン生成を助けます。 VEGF （血管内皮増殖因子） 血管内皮細胞の増殖や新生を促進します。 TGF- β（変形成成長因子β） 上皮細胞、血管内皮細胞の増殖や新生、傷の治癒を刺激します。 これらの成長因子は、傷の治癒や細胞再生、コラーゲン生成などにおいて効果的で、血管や肌の若返りに貢献します。 PRPキットについて 当院では、安全性が確認されたMyCells（マイセル）というPRP作成キット（Kaylight社製）を使用しております。このキットはアメリカのFDAおよびヨーロッパCEマークの認証を受けており、日本の厚生労働省に相当する機関による認定も取得しており、非常に高い安全性を誇っています。採血からPRP作成まで閉鎖チューブ内で行われるため、異物や細菌の混入の心配がありません。 スポーツによる怪我の治療 スポーツによる""]}, ""maker_context"": {}}]"
大阪府|TCB東京中央美容外科・TCBスキンクリニックBSクリニックPrestige梅田大阪駅前院	大阪府	TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院	03E2602016						NONE	NO	NO	[]
大阪府|しらい痛みのクリニック	大阪府	しらい痛みのクリニック	01E2511022						NONE	NO	NO	[]
大阪府|つねとう痛みのクリニック	大阪府	つねとう痛みのクリニック	01E2505003						NONE	NO	NO	[]
大阪府|ひらまつ整形外科難波膝スポーツクリニック	大阪府	ひらまつ整形外科 難波膝スポーツクリニック	01E2605008						NONE	NO	NO	[]
大阪府|アスレティックス整形外科肩膝スポーツクリニック	大阪府	アスレティックス整形外科肩膝スポーツクリニック	01E2511016|01E2511017	Condensia	京セラ	京セラ	京セラ	京セラ	EXPLICIT_OFFICIAL	YES	YES	"[{""url"": ""https://athletics-clinic.jp/prp/"", ""title"": ""再生療法【PRP療法】｜八尾市のアスレティックス整形外科肩膝スポーツクリニック"", ""products"": [""Condensia""], ""makers"": [""京セラ""], ""product_context"": {""Condensia"": [""には個人差があり、すべての方に効果が保証されるものではありません。 治療後、一時的に注入部位に痛みや腫れ、熱感が出ることがあります。 健康保険が適用されない自由診療 のため、治療費は全額自己負担となります。 感染症（HIV、B型・C型肝炎など）をお持ちの方は、治療を受けられない場合があります。 当院のPRP療法の特徴 1. 高品質なPRPの作成（京セラ社製 Condensia採用） 安心の日本製システムを使用します。 2段階の遠心分離により、血小板を高濃度に濃縮した質の高いPRPを作成可能です。 疾患や部位に応じて、白血球の量を調整した2種類のPRP（LR-PRP/LP-PRP）を使い分けることができ、より個別化された治療を提供します。 2. 超音波ガイド下での正確な注入 注入は、 必ず超音波（エコー）で患部を確認しながら 行い""]}, ""maker_context"": {""京セラ"": [""の必要がない（日帰り治療が可能）。 繰り返し治療を行うことが可能。 デメリット 効果の現れ方には個人差があり、すべての方に効果が保証されるものではありません。 治療後、一時的に注入部位に痛みや腫れ、熱感が出ることがあります。 健康保険が適用されない自由診療 のため、治療費は全額自己負担となります。 感染症（HIV、B型・C型肝炎など）をお持ちの方は、治療を受けられない場合があります。 当院のPRP療法の特徴 1. 高品質なPRPの作成（京セラ社製 Condensia採用） 安心の日本製システムを使用します。 2段階の遠心分離により、血小板を高濃度に濃縮した質の高いPRPを作成可能です。 疾患や部位に応じて、白血球の量を調整した2種類のPRP（LR-PRP/LP-PRP）を使い分けることができ、より個別化された治療を提供します。 2. 超音波ガイド下での正確な注入 注入は、 必ず超音波（エコー）で患部を確認しながら 行います。これにより、PRPを目的の部位へ正確に届けることが""]}}]"
大阪府|リセリングクリニック	大阪府	リセリングクリニック	03E2506014|03E2506015|03E2506016						NONE	NO	NO	[]
大阪府|ルナペインクリニック	大阪府	ルナペインクリニック	01E2403004						NONE	NO	NO	[]
大阪府|一般社団法人澄佳会松山淳記念クリニック	大阪府	一般社団法人澄佳会 松山淳記念クリニック	01E2508030|02E2607017						NONE	NO	NO	[]
大阪府|一般社団法人隆起会おおたき整形外科	大阪府	一般社団法人隆起会 おおたき整形外科	01E2604017|01E2604018						NONE	NO	NO	[]
大阪府|医療法人井上クリニック	大阪府	医療法人 井上クリニック	01E2104016						NONE	NO	NO	[]
大阪府|医療法人翔寿会こんどう整形外科クリニック	大阪府	医療法人 翔寿会 こんどう整形外科クリニック	01E2411017|01E2411018						NONE	NO	NO	[]
大阪府|医療法人いずみ会阪堺病院	大阪府	医療法人いずみ会 阪堺病院	03E2105004|03E2305033						NONE	NO	NO	[]
大阪府|医療法人じんないクリニック	大阪府	医療法人じんないクリニック	01E2604019						NONE	NO	NO	[]
大阪府|医療法人一幸会いっしん整形外科	大阪府	医療法人一幸会 いっしん整形外科	01E2104018|01E2105009						NONE	NO	NO	[]
大阪府|医療法人仁由会日本ウェルネス再生クリニック	大阪府	医療法人仁由会 日本ウェルネス再生クリニック	03E2206013|03E2206024						NONE	NO	NO	[]
大阪府|医療法人光明会もりあきクリニック	大阪府	医療法人光明会 もりあきクリニック	01E2307007|02E2606021						NONE	NO	NO	[]
大阪府|医療法人再生会そばじまクリニックニューオータニ大阪院	大阪府	医療法人再生会  そばじまクリニック ニューオータニ大阪院	02E2405009|03E2409028|03E2409029|03E2409030						NONE	NO	NO	[]
大阪府|医療法人前幸会ささゆりヘルスクリニック	大阪府	医療法人前幸会 ささゆりヘルスクリニック	03E2201007|03E2201008						NONE	NO	NO	[]
大阪府|医療法人天野整形外科	大阪府	医療法人天野整形外科	01E2310023|01E2310024						NONE	NO	NO	[]
大阪府|医療法人想千あわ整形外科クリニック	大阪府	医療法人想千あわ整形外科クリニック	03E2404012						NONE	NO	NO	[]
大阪府|医療法人慶春会福永記念診療所	大阪府	医療法人慶春会 福永記念診療所	02E2506021|02E2506026|03E2407016						NONE	NO	NO	[]
大阪府|医療法人村上整形外科	大阪府	医療法人村上整形外科	01E2308018|01E2308019						NONE	NO	NO	[]
大阪府|医療法人桂礼会小阪医院	大阪府	医療法人桂礼会 小阪医院	01E2408018|01E2408019						NONE	NO	NO	[]
大阪府|医療法人桜希会東朋八尾健診クリニック	大阪府	医療法人桜希会 東朋八尾健診クリニック	03E2405011						NONE	NO	NO	[]
大阪府|医療法人生樹会渡辺病院	大阪府	医療法人生樹会 渡辺病院	01E2412014						NONE	NO	NO	[]
大阪府|医療法人社団彦星会健都よねだスポーツ整形外科	大阪府	医療法人社団彦星会 健都よねだスポーツ整形外科	01E2503011						NONE	NO	NO	[]
大阪府|医療法人社団日生会リバースセルクリニック	大阪府	医療法人社団日生会 リバースセルクリニック	03E2602011|03E2602012						NONE	NO	NO	[]
大阪府|医療法人美喜有会リペアセルクリニック	大阪府	医療法人美喜有会  リペアセルクリニック	02E2603026|02E2603028|02E2603029|02E2603032						NONE	NO	NO	[]
大阪府|医療法人良花会整形外科とくはらクリニック	大阪府	医療法人良花会 整形外科とくはらクリニック	01E2004008|01E2004009						NONE	NO	NO	[]
大阪府|医療法人蒼優会NLC野中腰痛クリニック	大阪府	医療法人蒼優会 NLC野中腰痛クリニック	01E2312014						NONE	NO	NO	[]
大阪府|医療法人讃高会枚方東整形外科病院	大阪府	医療法人讃高会 枚方東整形外科病院	02E2507044|02E2507045						NONE	NO	NO	[]
大阪府|医療法人酒井会さかいペインクリニック	大阪府	医療法人酒井会 さかいペインクリニック	01E2403005|01E2403006						NONE	NO	NO	[]
大阪府|医療法人香華会Re:BornClinic大阪院	大阪府	医療法人香華会 Re:Born Clinic 大阪院	02E2605005|02E2605006|02E2605014|02E2605018						NONE	NO	NO	[]
大阪府|大阪市立総合医療センター	大阪府	大阪市立総合医療センター	03E2604001|03E2604002						NONE	NO	NO	[]
