plan_id,facility_id,prefecture,facility,category,treatment,status,match_score,document_url,amount,tax,unit,products,score,page,excerpt,qc_reason,error
P00313,F0252,東京都,一般社団法人健寿会 表参道イーグルクリニック,第二種,自己脂肪由来幹細胞を用いた変形性関節症の治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2410002/5/0,1100000,税込,1回,,9,,"、管理 者(院長)へと報告し対応します。 再生医療事務局 電話番号:03-6630-6239 13.費用について 本治療は保険適用外であるため、治療にかかる費用全額をお支払い いただきます。その他、本治療を受けるために必要となった旅費、 交通費などの全ての費用も同様です。 本治療にかかる費用は1回 1,100,000円(税込)です。 なお、脂肪の採取後や、細胞加工物の製造後に同意を撤回された場 合など、同意を撤回される時点までに費用(治療費等)が発生して いる場合は、その時までに発生した費用についてもお支払いいただ きます。 14.他の治療法の有無、本治療法との比較について 変形性関節症の治療法には保存療法と手術療法の2つの方法があり ます。薬物投与",,
P00314,F0252,東京都,一般社団法人健寿会 表参道イーグルクリニック,第二種,多血小板血漿を用いた変形性関節症の治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2410004/5/0,55000,税込,1回,,9,,"対応させていただきます。 再生医療事務局 電話番号:03-6630-6239 13.費用について 本治療は保険の適用外であるため、自由診療として提供いたしま す。そのため、本治療を提供するために必要となる費用につきまし てはあなたに全額ご負担いただく必要がございます。治療に必要と なる費用は1回 55,000円(税込)となります。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意 を撤回される時点までに費用が発生している場合は、発生した費用 についてはあなたにご負担いただきますのでご了承ください。 14.他の治療法の有無、本治療法との比較について 変形性関節症の治療法には保存療法と手術療法の2つの方法があ ります。薬物投与、装具装",,
P00294,F0253,東京都,一般社団法人健瑞会 Abante Clinic 銀座,第二種,自家培養脂肪由来幹細胞を用いた関節疾患の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2607058/5/0,100000,不明,,,6,1,"5,000,000 円 細胞保管費用(2 年目以降) (年間)100,000 円 *医師によるカウンセリングを受け、同意書にご署名いただきましたら、血液検査料と別に 予約金として「投与費用」を事前にお支払いいただきます。",price candidates remain ambiguous,
P00294,F0253,東京都,一般社団法人健瑞会 Abante Clinic 銀座,第二種,自家培養脂肪由来幹細胞を用いた関節疾患の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2607058/5/0,5000000,不明,1 回,,6,1,"50,000 円 自家培養脂肪由来幹細胞投与 1 回* 5,000,000 円 細胞保管費用(2 年目以降) (年間)100,000 円",price candidates remain ambiguous,
P00294,F0253,東京都,一般社団法人健瑞会 Abante Clinic 銀座,第二種,自家培養脂肪由来幹細胞を用いた関節疾患の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2607058/5/0,10000,税別,,,4,1,"費用(税別) 診察料(血液検査も含む) 10,000 円 血液検査料 50,000 円",price candidates remain ambiguous,
P00294,F0253,東京都,一般社団法人健瑞会 Abante Clinic 銀座,第二種,自家培養脂肪由来幹細胞を用いた関節疾患の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2607058/5/0,50000,不明,1 回,,3,1,"10,000 円 血液検査料 50,000 円 自家培養脂肪由来幹細胞投与 1 回* 5,000,000 円",price candidates remain ambiguous,
P00295,F0288,東京都,一般社団法人東京LAB 高輪ゲートウェイ駅前整形外科クリニック,第三種,多血小板血漿（PRP）を用いた整形外科領域における軟部組織治療,AUTO,0.9874,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601048/5/0,36000,税別,,,9,5,"す。 治療費 ・日本の健康保険証をお持ちの方 1キットあたり治療費: 36,000円(税抜) ・そうでない方 1キットあたり70,000円 (税抜) ・学生(中高生以下)等 1キットあたり27,000円(税抜)",line-level strong price context,
P00303,F0318,東京都,一般社団法人雲動会 あおぞらクリニック整形外科,第三種,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503021/5/0,55000,税込,1 回,,9,,"がご使用できない自由診療です。そのため、患者様の費用負担 が他の治療よりも高額になることがあります。当院において実施される本治療および本 治療に必要な検査などの費用は全額自己負担となります。 血液分離専用容器キットによる施術料1 回: 3種:PRP 血液分離専用容器キットによる施術料1 回 55,000円(税込) ※患者様の症状によっては、治療を数回行うことがあります。治療前、または治 療後の状態から担当医師が判断し、患者様にお伝えしご相談させて頂きます。 ※治療内容・回数により1回あたりの費用が減額される場合がございます。施術する 前に詳細な説明をいたしますので、ご納得いただいた上で施術いただきますようお 願い申し上げます。",,
P00303,F0318,東京都,一般社団法人雲動会 あおぞらクリニック整形外科,第三種,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503021/5/0,5000,不明,,,-8,,"を受けた後に同意されない場合でも、一切不利益を受けることはありません。 また同様に、治療を受けることに同意した場合であっても、投与までの間でしたら、 いつでも取りやめることができます。この場合でも、一切不利益を受けません。 (採血等にかかる実費等はご負担いただきます。 :採血後のキャンセル料 5,000 円 加工後のキャンセル料 35,000 円) もしこの治療を受けることに同意されない場合も、最適と考えられる治療を実施でき るように患者様の治療に最善を尽くします。 ただし、治療を行った後は、健康管理・アフターフォローのために必要に応じて適切 な検査を受けていただき、医学的に問題がないかを確認させていただきます。 11. 試料等の",,
P00303,F0318,東京都,一般社団法人雲動会 あおぞらクリニック整形外科,第三種,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503021/5/0,35000,不明,,,-8,,"不利益を受けることはありません。 また同様に、治療を受けることに同意した場合であっても、投与までの間でしたら、 いつでも取りやめることができます。この場合でも、一切不利益を受けません。 (採血等にかかる実費等はご負担いただきます。 :採血後のキャンセル料 5,000 円 加工後のキャンセル料 35,000 円) もしこの治療を受けることに同意されない場合も、最適と考えられる治療を実施でき るように患者様の治療に最善を尽くします。 ただし、治療を行った後は、健康管理・アフターフォローのために必要に応じて適切 な検査を受けていただき、医学的に問題がないかを確認させていただきます。 11. 試料等の保管及び廃棄の方法について この治",,
P00315,F0242,東京都,三軒茶屋整形外科・スポーツクリニック,第二種,多血小板血漿抽出液による関節症治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1906018/5/0,100000,不明,,APS|GPS|Zimmer,7,,"者(院長)へと報告して対応させていただきます。 窓口部署:事務 連絡先:03-3487-8341 12.費用について この治療は公的保険の対象ではありませんので、当院所定の施術料をお支払いいただきます。 ・ZIMMER BIOMET 製 GPS®IIIシステム使用 100,000円~200,000円 (APSキットを使用せず、作製したPRPをそのまま使用する場合) GPS®IIIシステム、APSキット使用 300,000円~400,000円 (APSキットを使用してさらに抽出を行い純度を高めて使用する場合) ※患者様の症状により治療費が変動いたします。 施術後、患者様の",,
P00315,F0242,東京都,三軒茶屋整形外科・スポーツクリニック,第二種,多血小板血漿抽出液による関節症治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1906018/5/0,200000,不明,,APS|GPS|Zimmer,7,,"して対応させていただきます。 窓口部署:事務 連絡先:03-3487-8341 12.費用について この治療は公的保険の対象ではありませんので、当院所定の施術料をお支払いいただきます。 ・ZIMMER BIOMET 製 GPS®IIIシステム使用 100,000円~200,000円 (APSキットを使用せず、作製したPRPをそのまま使用する場合) GPS®IIIシステム、APSキット使用 300,000円~400,000円 (APSキットを使用してさらに抽出を行い純度を高めて使用する場合) ※患者様の症状により治療費が変動いたします。 施術後、患者様の個人的な事情及び金",,
P00315,F0242,東京都,三軒茶屋整形外科・スポーツクリニック,第二種,多血小板血漿抽出液による関節症治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1906018/5/0,300000,不明,,APS|GPS|Zimmer,7,,"施術料をお支払いいただきます。 ・ZIMMER BIOMET 製 GPS®IIIシステム使用 100,000円~200,000円 (APSキットを使用せず、作製したPRPをそのまま使用する場合) GPS®IIIシステム、APSキット使用 300,000円~400,000円 (APSキットを使用してさらに抽出を行い純度を高めて使用する場合) ※患者様の症状により治療費が変動いたします。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねますのでご了 承ください。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意を撤回される時点までに費用が",,
P00315,F0242,東京都,三軒茶屋整形外科・スポーツクリニック,第二種,多血小板血漿抽出液による関節症治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1906018/5/0,400000,不明,,APS|GPS|Zimmer,7,,"ただきます。 ・ZIMMER BIOMET 製 GPS®IIIシステム使用 100,000円~200,000円 (APSキットを使用せず、作製したPRPをそのまま使用する場合) GPS®IIIシステム、APSキット使用 300,000円~400,000円 (APSキットを使用してさらに抽出を行い純度を高めて使用する場合) ※患者様の症状により治療費が変動いたします。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねますのでご了 承ください。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意を撤回される時点までに費用が発生し ている場合",,
P00316,F0243,東京都,上石神井オチクリニック整形外科,第二種,自己多血小板血漿（PRP）療法（治療対象：関節炎・変形性関節症）,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601089/5/0,55000,税込,3回分,,9,18,"(60mL)につき、投与3回分(各投与約5mL、最大で約15mL)の PRPを製造いたします。 PRPを用いた投与1回分(1部位) 55,000円(税込) ※投与3回行った場合、1回55,000円×3回=165,000円となります。 ただし、2回目及び3回目の採血はございません。",line-level strong price context,
P00290,F0245,東京都,世田谷かくた整形外科 成城学園前院,第二種,変形性関節症に対する多血小板血漿（PRP）関節内投与療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2511036/5/0,165000,税込,,APS|GPS,8,,"ていただきます。 窓口:事務長 連絡先:03-3417-1152 14.費用について 細胞の提供に際して費用は発生しません。 治療の提供に際しては、本治療は公的保険の対象ではありませんので、当院所定の施術料として以下の金額 をお支払いいただきます。 1GPS®IIIシステム:165,000円(税込) 2APSキット:330,000円(税込) ※患者様の症状、その他の事情等により治療費が変動する場合があります。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意を撤回される時点までに費用が発生している 場合は、発生した費用については患者様にご負担いただきますのでご了承ください。 15.他の治療法の有無、",,
P00290,F0245,東京都,世田谷かくた整形外科 成城学園前院,第二種,変形性関節症に対する多血小板血漿（PRP）関節内投与療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2511036/5/0,330000,税込,,APS|GPS,8,,"先:03-3417-1152 14.費用について 細胞の提供に際して費用は発生しません。 治療の提供に際しては、本治療は公的保険の対象ではありませんので、当院所定の施術料として以下の金額 をお支払いいただきます。 1GPS®IIIシステム:165,000円(税込) 2APSキット:330,000円(税込) ※患者様の症状、その他の事情等により治療費が変動する場合があります。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意を撤回される時点までに費用が発生している 場合は、発生した費用については患者様にご負担いただきますのでご了承ください。 15.他の治療法の有無、本治療法との比較について 変形性関節症をは",,
P00291,F0248,東京都,予防からはじめる整形外科 T CLINIC Ichigaya,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2504057/5/0,50000,税別,,ACP MAX|ACP,8,,"本治療にかかる費用は、以下のとおりです。なお、費用に含まれるのは、治療に伴う 診査、自家PRP 調製のための採血にかかる費用、自家PRP 調製費用、注入にかかる 費用であり、以下が費用の総額となります。 治療の種類 平均的な血小板注入量 費用(税別) ACP-PRP 20 億個 50,000 円 HD-PRP(ACP MAX の場合) 90 億個 180,000 円 また、ACP-PRP は効果を高めるため、2 倍量1 度に投与することが可能です。 その場合の費用は以下の通りです。 治療の種類 平均的な血小板注入量 費用(税別) ACP-PRP ダブルショット 40 億個 100,000 円",,
P00291,F0248,東京都,予防からはじめる整形外科 T CLINIC Ichigaya,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2504057/5/0,180000,税別,,ACP MAX|ACP,8,,"う 診査、自家PRP 調製のための採血にかかる費用、自家PRP 調製費用、注入にかかる 費用であり、以下が費用の総額となります。 治療の種類 平均的な血小板注入量 費用(税別) ACP-PRP 20 億個 50,000 円 HD-PRP(ACP MAX の場合) 90 億個 180,000 円 また、ACP-PRP は効果を高めるため、2 倍量1 度に投与することが可能です。 その場合の費用は以下の通りです。 治療の種類 平均的な血小板注入量 費用(税別) ACP-PRP ダブルショット 40 億個 100,000 円 • 治療終了後も定期的な受診が必要です。 9 11.健康",,
P00291,F0248,東京都,予防からはじめる整形外科 T CLINIC Ichigaya,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2504057/5/0,100000,税別,,ACP MAX|ACP,0,,"P(ACP MAX の場合) 90 億個 180,000 円 また、ACP-PRP は効果を高めるため、2 倍量1 度に投与することが可能です。 その場合の費用は以下の通りです。 治療の種類 平均的な血小板注入量 費用(税別) ACP-PRP ダブルショット 40 億個 100,000 円 • 治療終了後も定期的な受診が必要です。 9 11.健康被害が発生した際の処置と補償等について すべての医療行為にはリスクがあり、ある一定の確率で合併症が起こりえます。 本治療においても『5.予想される効果と起こるかもしれない副作用』でお示しした 合併症については起こらないように細心の注意を払ってい",,
